iter	Passed	Remaining
981	27017	495
982	27044	467
983	27071	440
984	27097	412
985	27126	385
986	27152	357
987	27180	330
988	27207	302
989	27234	275
990	27262	247
991	27289	220
992	27318	192
993	27344	165
994	27370	137
995	27396	110
996	27423	82
997	27450	55
998	27476	27
999	27504	0
